sentence_orig,sentence,label,label_source,has_signoff
Please submit the minutes in noon.,please submit the minutes in noon,deadline,synthetic,0
Make sure the documentation is deadline by COB.,make sure the documentation is deadline by cob,deadline,synthetic,0
"Tarun, please turn in the analysis deadline May 27, 2026 at 11am.","tarun, please turn in the analysis deadline may 27, 2026 at 11am",deadline,synthetic,0
Deliver the minutes within ASAP.,deliver the minutes within asap,deadline,synthetic,0
Proposal should be by Friday.,proposal should be by friday,deadline,synthetic,0
"dataset by December 8, 2026 at 4pm","dataset by december 8, 2026 at 4pm",deadline,synthetic,0
"summary memo due July 4, 2026 at noon","summary memo due july 4, 2026 at noon",deadline,synthetic,0
Make sure the documentation is by next Saturday.,make sure the documentation is by next saturday,deadline,synthetic,0
"* Finish the form deadline for September 11, 2026 by 2pm","finish the form deadline for september 11, 2026 by 2pm",deadline,synthetic,0
Is the release notes due 10am?,is the release notes due 10am,deadline,synthetic,0
due: code fix Wednesday,due: code fix wednesday,deadline,synthetic,0
due: research notes next Tuesday,due: research notes next tuesday,deadline,synthetic,0
Can you resolve the expense report by next Saturday?,can you resolve the expense report by next saturday,deadline,synthetic,0
Can you email the proposal no later than 8pm? so we can proceed.,can you email the proposal no later than 8pm? so we can proceed,deadline,synthetic,0
Please submit the design doc deadline for by the end of the week.,please submit the design doc deadline for by the end of the week,deadline,synthetic,0
• Submit the draft due July 14 by 11am,submit the draft due july 14 by 11am,deadline,synthetic,0
Reminder: meeting notes no later than one hour tops.,reminder: meeting notes no later than one hour tops,deadline,synthetic,0
assignment — send in saturday at 1pm.,assignment — send in saturday at 1pm,deadline,synthetic,0
• project plan - due December 2,project plan - due december 2,deadline,synthetic,0
Form no later than in 2 hours.,form no later than in 2 hours,deadline,synthetic,0
• Finish the article due on in 6 hours,finish the article due on in 6 hours,deadline,synthetic,0
Minutes — provide in in 7 days.,minutes — provide in in 7 days,deadline,synthetic,0
"ops, please share the release notes due on Wednesday.","ops, please share the release notes due on wednesday",deadline,synthetic,0
Deliver the meeting notes deadline next Tuesday.,deliver the meeting notes deadline next tuesday,deadline,synthetic,0
do research notes by this Saturday,do research notes by this saturday,deadline,synthetic,0
* Submit the release notes by 1pm,submit the release notes by 1pm,deadline,synthetic,0
Share the application before in 5 days.,share the application before in 5 days,deadline,synthetic,0
Prepare the minutes before noon.,prepare the minutes before noon,deadline,synthetic,0
"Minutes — due by October 1, 2026.","minutes — due by october 1, 2026",deadline,synthetic,0
"HR, please prepare the documentation due 1pm.","hr, please prepare the documentation due 1pm",deadline,synthetic,0
"Pls send the expense report deadline 10am at 1pm, for the review.","pls send the expense report deadline 10am at 1pm, for the review",deadline,synthetic,0
Hand in presentation by Thursday at 3pm.,hand in presentation by thursday at 3pm,deadline,synthetic,0
finish budget by Monday at noon,finish budget by monday at noon,deadline,synthetic,0
Produce research notes — due December 3 by 11:59pm so we can proceed.,produce research notes — due december 3 by 11:59pm so we can proceed,deadline,synthetic,0
Is the evaluation due Wednesday?,is the evaluation due wednesday,deadline,synthetic,0
"Complete contract by November 16, 2026 - Thanks,","complete contract by november 16, 2026",deadline,synthetic,1
Proposal should be by October 22. - Team,proposal should be by october 22. - team,deadline,synthetic,0
do documentation by 4pm,do documentation by 4pm,deadline,synthetic,0
Can we have the report expected by November 23?,can we have the report expected by november 23,deadline,synthetic,0
"Due November 12 at 9am: minutes, asap.","due november 12 at 9am: minutes, asap",deadline,synthetic,0
Compile the presentation — by Monday at 9am.,compile the presentation — by monday at 9am,deadline,synthetic,0
Ensure the slides is no later than next Sunday at 1pm.,ensure the slides is no later than next sunday at 1pm,deadline,synthetic,0
Due one hour max: summary.,due one hour max: summary,deadline,synthetic,0
"ops, please upload the evaluation deadline August 5, 2026.","ops, please upload the evaluation deadline august 5, 2026",deadline,synthetic,0
submit assignment by September 1 at 6pm.,submit assignment by september 1 at 6pm,deadline,synthetic,0
Can we have the application no later than Wednesday at 8pm?,can we have the application no later than wednesday at 8pm,deadline,synthetic,0
• Submit the contract due in 48 hours,submit the contract due in 48 hours,deadline,synthetic,0
"Please implement the form deadline for June 18, 2026.","please implement the form deadline for june 18, 2026",deadline,synthetic,0
Project plan until in 7 days.,project plan until in 7 days,deadline,synthetic,0
Reminder: code fix due by June 5 at 7pm.,reminder: code fix due by june 5 at 7pm,deadline,synthetic,0
Ensure the form is deadline for next Sunday.,ensure the form is deadline for next sunday,deadline,synthetic,0
- timesheet - due this Saturday Thanks!,timesheet - due this saturday,deadline,synthetic,1
"do schedule by May 6, 2026 by noon","do schedule by may 6, 2026 by noon",deadline,synthetic,0
"Minutes - due January 27, 2026. Thanks,","minutes - due january 27, 2026",deadline,synthetic,1
Is the contract due 2pm?,is the contract due 2pm,deadline,synthetic,0
Turn in proposal due by in 30 days at 6pm.,turn in proposal due by in 30 days at 6pm,deadline,synthetic,0
assignment due now.,assignment due now,deadline,synthetic,0
Complete documentation within next Monday.,complete documentation within next monday,deadline,synthetic,0
Return the summary memo due on Sunday at 10am.,return the summary memo due on sunday at 10am,deadline,synthetic,0
"Please make sure to complete the invoice required by by EOD,",please make sure to complete the invoice required by by eod,deadline,synthetic,0
Due this Sunday: expense report.,due this sunday: expense report,deadline,synthetic,0
"• summary memo - due April 5, 2026","summary memo - due april 5, 2026",deadline,synthetic,0
Make sure to send the draft within Saturday.,make sure to send the draft within saturday,deadline,synthetic,0
"Please upload the project plan no later than Wednesday at noon, if possible.","please upload the project plan no later than wednesday at noon, if possible",deadline,synthetic,0
Project plan should be deadline for noon.,project plan should be deadline for noon,deadline,synthetic,0
• Upload the minutes by 3pm,upload the minutes by 3pm,deadline,synthetic,0
Due this Thursday: report.,due this thursday: report,deadline,synthetic,0
"Due April 24, 2026 at 11:59pm: design doc.","due april 24, 2026 at 11:59pm: design doc",deadline,synthetic,0
* application - due Saturday at 8pm,application - due saturday at 8pm,deadline,synthetic,0
Please submit the code fix in November 20 at 7pm.,please submit the code fix in november 20 at 7pm,deadline,synthetic,0
due: minutes Monday at 3pm,due: minutes monday at 3pm,deadline,synthetic,0
eta: application due by 11am.,eta: application due by 11am,deadline,synthetic,0
Can you send the project plan due by Monday at noon?,can you send the project plan due by monday at noon,deadline,synthetic,0
please produce the invoice in saturday at 8pm.,please produce the invoice in saturday at 8pm,deadline,synthetic,0
Finish application expected by February 12 - Thanks!.,finish application expected by february 12 - thanks,deadline,synthetic,0
due: proposal next second at 4pm to meet the deadline.,due: proposal next second at 4pm to meet the deadline,deadline,synthetic,0
Share evaluation expected by Saturday.,share evaluation expected by saturday,deadline,synthetic,0
"• Resolve the summary due on June 14, 2026","resolve the summary due on june 14, 2026",deadline,synthetic,0
Produce the analysis by next Friday at 11:59pm.,produce the analysis by next friday at 11:59pm,deadline,synthetic,0
- Finalize the code fix deadline for this Wednesday,finalize the code fix deadline for this wednesday,deadline,synthetic,0
Reminder: proposal deadline for Thursday.,reminder: proposal deadline for thursday,deadline,synthetic,0
"due: test plan September 10, 2026 by 7pm","due: test plan september 10, 2026 by 7pm",deadline,synthetic,0
• Deliver the application before Monday at 2pm,deliver the application before monday at 2pm,deadline,synthetic,0
• documentation - due Thursday at 2pm,documentation - due thursday at 2pm,deadline,synthetic,0
Ensure the report is due on May 5.,ensure the report is due on may 5,deadline,synthetic,0
Code fix — deadline this Thursday.,code fix — deadline this thursday,deadline,synthetic,0
"Provide draft — due September 2, 2026","provide draft — due september 2, 2026",deadline,synthetic,0
Needs to be no later than 6pm: summary.,needs to be no later than 6pm: summary,deadline,synthetic,0
"finance: Finalize the analysis due by 4pm, asap.","finance: finalize the analysis due by 4pm, asap",deadline,synthetic,0
Please upload the report in January 18 by 4pm.,please upload the report in january 18 by 4pm,deadline,synthetic,0
don't forget to prepare the design doc deadline now.,don't forget to prepare the design doc deadline now,deadline,synthetic,0
"• Finish the contract due by November 8, 2026 — thanks","finish the contract due by november 8, 2026",deadline,synthetic,1
- Provide the release notes deadline Saturday.,provide the release notes deadline saturday,deadline,synthetic,0
PM: Return the timesheet deadline in 3 months.,pm: return the timesheet deadline in 3 months,deadline,synthetic,0
Please compile the form in this Saturday.,please compile the form in this saturday,deadline,synthetic,0
design doc due sunday,design doc due sunday,deadline,synthetic,0
Can we have the release notes due on Friday?,can we have the release notes due on friday,deadline,synthetic,0
Don't forget to upload the evaluation on or before September 21.,don't forget to upload the evaluation on or before september 21,deadline,synthetic,0
"- draft - due Thursday, if possible.","draft - due thursday, if possible",deadline,synthetic,0
Invoice — no later than Tuesday.,invoice — no later than tuesday,deadline,synthetic,0
When is the presentation due? (Preferably ASAP at noon),when is the presentation due? (preferably asap at noon,deadline,synthetic,0
Turn in report no later than March 11 at 7pm - Thanks!,turn in report no later than march 11 at 7pm,deadline,synthetic,1
deadline: evaluation ASAP.,deadline: evaluation asap,deadline,synthetic,0
Research notes needs to be deadline for next Monday.,research notes needs to be deadline for next monday,deadline,synthetic,0
"Needs to be deadline for in 14 days: timesheet, asap.","needs to be deadline for in 14 days: timesheet, asap",deadline,synthetic,0
Post the project plan deadline for 5pm.,post the project plan deadline for 5pm,deadline,synthetic,0
• analysis - due November 14 at 9am,analysis - due november 14 at 9am,deadline,synthetic,0
Post the presentation until 9am.,post the presentation until 9am,deadline,synthetic,0
"Please make sure to return the presentation on or before Thursday at 11am, for the review.","please make sure to return the presentation on or before thursday at 11am, for the review",deadline,synthetic,0
"ETA: contract no later than January 22, 2026.","eta: contract no later than january 22, 2026",deadline,synthetic,0
Don't forget to email the meeting notes deadline for in 6 months.,don't forget to email the meeting notes deadline for in 6 months,deadline,synthetic,0
Reminder: code fix deadline for July 27.,reminder: code fix deadline for july 27,deadline,synthetic,0
Summary memo — expected by 11:59pm.,summary memo — expected by 11:59pm,deadline,synthetic,0
Don't forget to return the design doc due by EOD.,don't forget to return the design doc due by eod,deadline,synthetic,0
Make sure to post the documentation within 8pm.,make sure to post the documentation within 8pm,deadline,synthetic,0
finish slides by by EOD,finish slides by by eod,deadline,synthetic,0
Presentation - due in 6 months.,presentation - due in 6 months,deadline,synthetic,0
Compile the contract due 1pm.,compile the contract due 1pm,deadline,synthetic,0
Email the slides in May 5.,email the slides in may 5,deadline,synthetic,0
Is the dataset due in 72 hours?,is the dataset due in 72 hours,deadline,synthetic,0
Return the meeting notes before in 8 hours at 5pm.,return the meeting notes before in 8 hours at 5pm,deadline,synthetic,0
Due this Sunday: invoice.,due this sunday: invoice,deadline,synthetic,0
Application should be deadline for in 365 days.,application should be deadline for in 365 days,deadline,synthetic,0
Article should be required by Monday.,article should be required by monday,deadline,synthetic,0
- form - due November 23 thanks.,form - due november 23,deadline,synthetic,1
"Don't forget to upload the dataset due April 9, 2026 at 11am.","don't forget to upload the dataset due april 9, 2026 at 11am",deadline,synthetic,0
"Don't forget to compile the minutes due by November 14, 2026.","don't forget to compile the minutes due by november 14, 2026",deadline,synthetic,0
"Produce the project plan — before January 1, 2026 by 10am.","produce the project plan — before january 1, 2026 by 10am",deadline,synthetic,0
"Finalize invoice on or before January 17, 2026 - Best,","finalize invoice on or before january 17, 2026",deadline,synthetic,1
Due in 14 days: budget.,due in 14 days: budget,deadline,synthetic,0
ETA: summary until December 13.,eta: summary until december 13,deadline,synthetic,0
Finalize presentation within in 120 hours.,finalize presentation within in 120 hours,deadline,synthetic,0
Reminder: meeting notes deadline for August 14.,reminder: meeting notes deadline for august 14,deadline,synthetic,0
eta: documentation on or before in 12 hours.,eta: documentation on or before in 12 hours,deadline,synthetic,0
finish meeting notes by this Sunday,finish meeting notes by this sunday,deadline,synthetic,0
Share the presentation — due by in 60 days at 5pm.,share the presentation — due by in 60 days at 5pm,deadline,synthetic,0
Is the minutes due in 90 days?,is the minutes due in 90 days,deadline,synthetic,0
- draft - due next sunday,draft - due next sunday,deadline,synthetic,0
Ensure the research notes is no later than next Tuesday.,ensure the research notes is no later than next tuesday,deadline,synthetic,0
- Compile the contract on or before October 27 at 11:59pm,compile the contract on or before october 27 at 11:59pm,deadline,synthetic,0
Don't forget to finish the application deadline for November 6.,don't forget to finish the application deadline for november 6,deadline,synthetic,0
"engineering, please prepare the test plan deadline for in 3 seconds.","engineering, please prepare the test plan deadline for in 3 seconds",deadline,synthetic,0
Send evaluation due in 2 weeks.,send evaluation due in 2 weeks,deadline,synthetic,0
"resolve proposal by April 4, 2026 at noon.","resolve proposal by april 4, 2026 at noon",deadline,synthetic,0
Implement research notes — due next Saturday,implement research notes — due next saturday,deadline,synthetic,0
"Do try to compile the minutes before April 7 at 11am, if you can.","do try to compile the minutes before april 7 at 11am, if you can",deadline,synthetic,0
test plan due October 17,test plan due october 17,deadline,synthetic,0
Make sure to finalize the timesheet within Sunday at 1pm.,make sure to finalize the timesheet within sunday at 1pm,deadline,synthetic,0
finish invoice by next Thursday,finish invoice by next thursday,deadline,synthetic,0
Evaluation — hand in in this Saturday.,evaluation — hand in in this saturday,deadline,synthetic,0
* schedule - due March 8,schedule - due march 8,deadline,synthetic,0
"Resolve evaluation due by in 120 hours at 3pm - Best,",resolve evaluation due by in 120 hours at 3pm,deadline,synthetic,1
- prepare the project plan due by may 22,prepare the project plan due by may 22,deadline,synthetic,0
Deliver the research notes — no later than April 24 at 2pm.,deliver the research notes — no later than april 24 at 2pm,deadline,synthetic,0
• analysis - due ASAP please,analysis - due asap please,deadline,synthetic,0
* Upload the minutes due by August 4,upload the minutes due by august 4,deadline,synthetic,0
"dev, please share the minutes on or before thursday.","dev, please share the minutes on or before thursday",deadline,synthetic,0
is the schedule due may 20 at 11:59pm?,is the schedule due may 20 at 11:59pm,deadline,synthetic,0
engineering: Provide the article due on 7pm.,engineering: provide the article due on 7pm,deadline,synthetic,0
"Due in 24 hours: timesheet, if you can.","due in 24 hours: timesheet, if you can",deadline,synthetic,0
Make sure to produce the budget within next Sunday.,make sure to produce the budget within next sunday,deadline,synthetic,0
"make presentation by September 12, 2026 Regards,","make presentation by september 12, 2026",deadline,synthetic,1
Can you post the article deadline December 16?,can you post the article deadline december 16,deadline,synthetic,0
Share the timesheet due on Saturday.,share the timesheet due on saturday,deadline,synthetic,0
Ensure the presentation is due by 10am.,ensure the presentation is due by 10am,deadline,synthetic,0
engineering: Compile the presentation before by COB.,engineering: compile the presentation before by cob,deadline,synthetic,0
dataset by Wednesday,dataset by wednesday,deadline,synthetic,0
"Can you post the code fix due on October 15, 2026 at 11:59pm?","can you post the code fix due on october 15, 2026 at 11:59pm",deadline,synthetic,0
share summary by Tuesday.,share summary by tuesday,deadline,synthetic,0
Draft due by this Sunday.,draft due by this sunday,deadline,synthetic,0
Expense report - due in 6 months.,expense report - due in 6 months,deadline,synthetic,0
Complete the project plan until next Thursday.,complete the project plan until next thursday,deadline,synthetic,0
• minutes - due 8pm for the review.,minutes - due 8pm for the review,deadline,synthetic,0
team: Submit the assignment due by in 3 days.,team: submit the assignment due by in 3 days,deadline,synthetic,0
Complete proposal — due next Thursday,complete proposal — due next thursday,deadline,synthetic,0
Is the report due this Monday?,is the report due this monday,deadline,synthetic,0
Can we have the dataset due Sunday at 4pm? please.,can we have the dataset due sunday at 4pm? please,deadline,synthetic,0
• release notes - due this Friday,release notes - due this friday,deadline,synthetic,0
do analysis by 5pm,do analysis by 5pm,deadline,synthetic,0
"Implement the contract in December 25, 2026 at 5pm.","implement the contract in december 25, 2026 at 5pm",deadline,synthetic,0
Can you complete the assignment deadline Wednesday?,can you complete the assignment deadline wednesday,deadline,synthetic,0
Presentation needs to be deadline for Saturday.,presentation needs to be deadline for saturday,deadline,synthetic,0
• Hand in the invoice due Friday at 10am,hand in the invoice due friday at 10am,deadline,synthetic,0
due: minutes December 24 by 11am.,due: minutes december 24 by 11am,deadline,synthetic,0
Post research notes required by Friday at 7pm - Thanks!,post research notes required by friday at 7pm,deadline,synthetic,1
Can we have the research notes due by Tuesday at 6pm?,can we have the research notes due by tuesday at 6pm,deadline,synthetic,0
Minutes needs to be due now.,minutes needs to be due now,deadline,synthetic,0
make presentation by February 21,make presentation by february 21,deadline,synthetic,0
article by Wednesday at 3pm,article by wednesday at 3pm,deadline,synthetic,0
• Prepare the invoice due by next Thursday.,prepare the invoice due by next thursday,deadline,synthetic,0
• Implement the article due in 3 months,implement the article due in 3 months,deadline,synthetic,0
"deadline: application April 19, 2026 by 4pm.","deadline: application april 19, 2026 by 4pm",deadline,synthetic,0
"Is the documentation due July 9, 2026? please.","is the documentation due july 9, 2026? please",deadline,synthetic,0
team: Upload the meeting notes before in 10 seconds.,team: upload the meeting notes before in 10 seconds,deadline,synthetic,0
• Return the project plan before this Sunday,return the project plan before this sunday,deadline,synthetic,0
"pls produce the schedule due by in 3 seconds, thanks.",pls produce the schedule due by in 3 seconds,deadline,synthetic,1
Target: project plan until 11:59pm.,target: project plan until 11:59pm,deadline,synthetic,0
Send the documentation within 3pm.,send the documentation within 3pm,deadline,synthetic,0
Test plan due by September 20 at 2pm.,test plan due by september 20 at 2pm,deadline,synthetic,0
Make sure to deliver the research notes within in 2 seconds.,make sure to deliver the research notes within in 2 seconds,deadline,synthetic,0
Provide code fix within Friday at 9am.,provide code fix within friday at 9am,deadline,synthetic,0
• Turn in the documentation due Friday asap.,turn in the documentation due friday asap,deadline,synthetic,0
Post proposal — due in 1 day,post proposal — due in 1 day,deadline,synthetic,0
Please post the budget due Wednesday.,please post the budget due wednesday,deadline,synthetic,0
Due Saturday: application.,due saturday: application,deadline,synthetic,0
"Please return the application before January 15, 2026, — thanks","please return the application before january 15, 2026",deadline,synthetic,1
Please upload the summary no later than Friday at 8pm.,please upload the summary no later than friday at 8pm,deadline,synthetic,0
- meeting notes - due in 1 hour,meeting notes - due in 1 hour,deadline,synthetic,0
Target: design doc by June 19 at 11:59pm.,target: design doc by june 19 at 11:59pm,deadline,synthetic,0
"Target: form deadline January 15, 2026 at 4pm, thanks.","target: form deadline january 15, 2026 at 4pm",deadline,synthetic,1
"Bob, please email the application required by Tuesday at 2pm.","bob, please email the application required by tuesday at 2pm",deadline,synthetic,0
make meeting notes by 7pm,make meeting notes by 7pm,deadline,synthetic,0
Assignment - due by end of month.,assignment - due by end of month,deadline,synthetic,0
finalize summary memo by next Monday.,finalize summary memo by next monday,deadline,synthetic,0
Summary memo - due this Tuesday.,summary memo - due this tuesday,deadline,synthetic,0
"minutes due January 22, 2026 at 7pm","minutes due january 22, 2026 at 7pm",deadline,synthetic,0
"Please produce the article before 3pm, to meet the deadline.","please produce the article before 3pm, to meet the deadline",deadline,synthetic,0
- form - due July 21,form - due july 21,deadline,synthetic,0
"finish schedule by November 6, 2026 at 3pm","finish schedule by november 6, 2026 at 3pm",deadline,synthetic,0
• research notes - due October 24 at 2pm so we can proceed.,research notes - due october 24 at 2pm so we can proceed,deadline,synthetic,0
Don't forget to hand in the contract no later than Monday.,don't forget to hand in the contract no later than monday,deadline,synthetic,0
Hand in the report until July 19.,hand in the report until july 19,deadline,synthetic,0
"Needs to be deadline for October 21, 2026: article. Thanks!","needs to be deadline for october 21, 2026: article",deadline,synthetic,1
finish application by 11:59pm Thanks!,finish application by 11:59pm,deadline,synthetic,1
Release notes needs to be no later than August 3.,release notes needs to be no later than august 3,deadline,synthetic,0
Needs to be deadline for in 3 months: timesheet.,needs to be deadline for in 3 months: timesheet,deadline,synthetic,0
"Reminder: dataset required by May 8, 2026.","reminder: dataset required by may 8, 2026",deadline,synthetic,0
Schedule needs to be before in 14 days.,schedule needs to be before in 14 days,deadline,synthetic,0
Prepare test plan — due in 7 days,prepare test plan — due in 7 days,deadline,synthetic,0
Produce the research notes on or before this Monday.,produce the research notes on or before this monday,deadline,synthetic,0
"Make sure to prepare the presentation within Thursday at 11am, if possible.","make sure to prepare the presentation within thursday at 11am, if possible",deadline,synthetic,0
create assignment before January 26,create assignment before january 26,deadline,synthetic,0
"deliver draft by September 11, 2026.","deliver draft by september 11, 2026",deadline,synthetic,0
due: release notes in 8 hours,due: release notes in 8 hours,deadline,synthetic,0
• Provide the dataset deadline Thursday,provide the dataset deadline thursday,deadline,synthetic,0
Expense report — upload in Tuesday at 6pm.,expense report — upload in tuesday at 6pm,deadline,synthetic,0
create research notes before in 300 days at noon,create research notes before in 300 days at noon,deadline,synthetic,0
"Make sure the documentation is deadline for February 23, 2026 at 8pm.","make sure the documentation is deadline for february 23, 2026 at 8pm",deadline,synthetic,0
deadline for: timesheet Friday.,deadline for: timesheet friday,deadline,synthetic,0
Implement the meeting notes by this Tuesday.,implement the meeting notes by this tuesday,deadline,synthetic,0
Documentation — by 8pm.,documentation — by 8pm,deadline,synthetic,0
When is the timesheet due? (Preferably Friday at 7pm),when is the timesheet due? (preferably friday at 7pm,deadline,synthetic,0
Hand in the schedule — due September 5.,hand in the schedule — due september 5,deadline,synthetic,0
Invoice — due Wednesday at 2pm.,invoice — due wednesday at 2pm,deadline,synthetic,0
Make sure the application is due by 1pm.,make sure the application is due by 1pm,deadline,synthetic,0
Implement application within 11:59pm.,implement application within 11:59pm,deadline,synthetic,0
Finalize the presentation due by in 300 days.,finalize the presentation due by in 300 days,deadline,synthetic,0
"HR, please complete the report due by this Thursday.","hr, please complete the report due by this thursday",deadline,synthetic,0
Form - due February 23.,form - due february 23,deadline,synthetic,0
• Produce the timesheet deadline 2pm,produce the timesheet deadline 2pm,deadline,synthetic,0
"do application by September 21, 2026","do application by september 21, 2026",deadline,synthetic,0
Target: slides due on in 3 seconds.,target: slides due on in 3 seconds,deadline,synthetic,0
Evaluation should be due on Saturday at 1pm.,evaluation should be due on saturday at 1pm,deadline,synthetic,0
"• Produce the minutes due on in 180 days Regards,",produce the minutes due on in 180 days,deadline,synthetic,1
Reminder: test plan deadline for 11:59pm.,reminder: test plan deadline for 11:59pm,deadline,synthetic,0
Produce the report due June 8.,produce the report due june 8,deadline,synthetic,0
"due: evaluation April 8, 2026","due: evaluation april 8, 2026",deadline,synthetic,0
Make sure the timesheet is by March 21.,make sure the timesheet is by march 21,deadline,synthetic,0
"Documentation needs to be deadline for February 28, 2026.","documentation needs to be deadline for february 28, 2026",deadline,synthetic,0
draft — complete in in 3 months.,draft — complete in in 3 months,deadline,synthetic,0
contract due next Friday at 11:59pm.,contract due next friday at 11:59pm,deadline,synthetic,0
Application - due in 3 months.,application - due in 3 months,deadline,synthetic,0
do assignment by Friday at 2pm,do assignment by friday at 2pm,deadline,synthetic,0
"Proposal — return in July 10, 2026.","proposal — return in july 10, 2026",deadline,synthetic,0
Is the summary due in 6 hours? asap.,is the summary due in 6 hours? asap,deadline,synthetic,0
• dataset - due Monday,dataset - due monday,deadline,synthetic,0
Don't forget to return the presentation due on March 1 at 2pm.,don't forget to return the presentation due on march 1 at 2pm,deadline,synthetic,0
Please provide the slides deadline May 18 by 11am.,please provide the slides deadline may 18 by 11am,deadline,synthetic,0
is the presentation due in 4 days?,is the presentation due in 4 days,deadline,synthetic,0
"Please compile the assignment no later than November 2, 2026.","please compile the assignment no later than november 2, 2026",deadline,synthetic,0
do project plan by 3pm.,do project plan by 3pm,deadline,synthetic,0
"finish summary memo by march 5, 2026 by 1pm.","finish summary memo by march 5, 2026 by 1pm",deadline,synthetic,0
Due in 1 day: dataset.,due in 1 day: dataset,deadline,synthetic,0
* Finish the summary memo deadline for in 4 hours Thanks!,finish the summary memo deadline for in 4 hours,deadline,synthetic,1
"Due September 18 at 4pm: timesheet, if you can.","due september 18 at 4pm: timesheet, if you can",deadline,synthetic,0
Turn in timesheet within in 72 hours.,turn in timesheet within in 72 hours,deadline,synthetic,0
"Timesheet — until February 17, 2026.","timesheet — until february 17, 2026",deadline,synthetic,0
Deliver the application deadline for Thursday.,deliver the application deadline for thursday,deadline,synthetic,0
Post the research notes — no later than in 8 hours.,post the research notes — no later than in 8 hours,deadline,synthetic,0
Reminder: timesheet on or before in 30 days.,reminder: timesheet on or before in 30 days,deadline,synthetic,0
"due: application July 1, 2026","due: application july 1, 2026",deadline,synthetic,0
Can you share the form due in 2 hours?,can you share the form due in 2 hours,deadline,synthetic,0
"release notes - due in 30 days, by then, please.","release notes - due in 30 days, by then, please",deadline,synthetic,0
"Due in 6 hours: release notes, if possible.","due in 6 hours: release notes, if possible",deadline,synthetic,0
"Reminder: timesheet on or before February 9, 2026 by 2pm.","reminder: timesheet on or before february 9, 2026 by 2pm",deadline,synthetic,0
• Finalize the summary deadline February 16 at noon,finalize the summary deadline february 16 at noon,deadline,synthetic,0
Produce the test plan — due on in 2 days.,produce the test plan — due on in 2 days,deadline,synthetic,0
finish schedule by by EOD,finish schedule by by eod,deadline,synthetic,0
create analysis before next Saturday,create analysis before next saturday,deadline,synthetic,0
Please upload the application in this Friday.,please upload the application in this friday,deadline,synthetic,0
Finish form within Tuesday.,finish form within tuesday,deadline,synthetic,0
Reminder: expense report deadline for Sunday.,reminder: expense report deadline for sunday,deadline,synthetic,0
Target: application required by in 300 days at 7pm.,target: application required by in 300 days at 7pm,deadline,synthetic,0
"Please implement the summary memo due by August 14, 2026, to meet the deadline.","please implement the summary memo due by august 14, 2026, to meet the deadline",deadline,synthetic,0
• Return the minutes on or before 11am,return the minutes on or before 11am,deadline,synthetic,0
"finish release notes by November 17, 2026","finish release notes by november 17, 2026",deadline,synthetic,0
Make sure the report is no later than September 16.,make sure the report is no later than september 16,deadline,synthetic,0
Please hand in the design doc due December 9.,please hand in the design doc due december 9,deadline,synthetic,0
ETA: draft due on in 2 hours.,eta: draft due on in 2 hours,deadline,synthetic,0
Can we have the invoice deadline September 10 at 11:59pm?,can we have the invoice deadline september 10 at 11:59pm,deadline,synthetic,0
Make sure the code fix is deadline 11am.,make sure the code fix is deadline 11am,deadline,synthetic,0
"Draft no later than March 1, 2026.","draft no later than march 1, 2026",deadline,synthetic,0
Can we have the minutes deadline for October 24?,can we have the minutes deadline for october 24,deadline,synthetic,0
Prepare the slides due on next second at noon.,prepare the slides due on next second at noon,deadline,synthetic,0
summary memo by August 11,summary memo by august 11,deadline,synthetic,0
Please produce the contract deadline in 4 hours.,please produce the contract deadline in 4 hours,deadline,synthetic,0
• Upload the application no later than this Thursday - Tarun,upload the application no later than this thursday - tarun,deadline,synthetic,0
Implement the project plan in 3pm.,implement the project plan in 3pm,deadline,synthetic,0
Can you upload the presentation expected by Thursday?,can you upload the presentation expected by thursday,deadline,synthetic,0
QA: Prepare the dataset no later than immediately.,qa: prepare the dataset no later than immediately,deadline,synthetic,0
Reminder: code fix due COB.,reminder: code fix due cob,deadline,synthetic,0
Budget - due July 1.,budget - due july 1,deadline,synthetic,0
Design doc due on in 1 hour.,design doc due on in 1 hour,deadline,synthetic,0
Is the meeting notes due Saturday at 10am?,is the meeting notes due saturday at 10am,deadline,synthetic,0
- design doc - due 11:59pm,design doc - due 11:59pm,deadline,synthetic,0
"dev, please compile the contract due by friday. Thanks!","dev, please compile the contract due by friday",deadline,synthetic,1
QA: Implement the application expected by 11:59pm.,qa: implement the application expected by 11:59pm,deadline,synthetic,0
• test plan - due October 21 by 2pm,test plan - due october 21 by 2pm,deadline,synthetic,0
Tarun: Produce the assignment by Sunday.,tarun: produce the assignment by sunday,deadline,synthetic,0
ETA: research notes expected by this Wednesday.,eta: research notes expected by this wednesday,deadline,synthetic,0
Make sure to prepare the assignment within Wednesday.,make sure to prepare the assignment within wednesday,deadline,synthetic,0
Can you upload the assignment due by in 300 days?,can you upload the assignment due by in 300 days,deadline,synthetic,0
Upload form no later than 6pm at 10am.,upload form no later than 6pm at 10am,deadline,synthetic,0
Don't forget to submit the meeting notes due in 24 hours.,don't forget to submit the meeting notes due in 24 hours,deadline,synthetic,0
ETA: assignment deadline for 2pm.,eta: assignment deadline for 2pm,deadline,synthetic,0
Please prepare the application on or before March 16.,please prepare the application on or before march 16,deadline,synthetic,0
can you hand in the evaluation on or before 3pm?,can you hand in the evaluation on or before 3pm,deadline,synthetic,0
